id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,xy_goal_tol,des_lin_vel,stop_flag,skip_flag
0,0.25099995732307434,0.07905630767345428,-0.02086152322590351,-0.0017017025101731266,0.003180511482992278,0.25875514749792794,0.9659362198849862,2.0,0.4,0,1
1,0.6728793978691101,0.5182237029075623,-0.04271071404218674,-0.012682307602412802,-0.001935562619332333,0.5009532268263478,0.8653792653927121,2.0,0.4,0,1
2,1.8935920000076294,3.285499095916748,-0.03129328414797783,-0.02340104383006642,-0.008160210865025587,0.5225928805363464,0.8522220778225971,2.0,0.4,0,1
3,3.3140571117401123,5.928849220275879,0.013781137764453888,-0.026423870104206094,-0.010608208898024612,0.4856284939875901,0.8737014262569034,2.0,0.4,0,1
4,4.825763702392578,8.520811080932617,0.04099934175610542,-0.025956578393355696,-0.011022595991337876,0.5083099900101838,0.8607122940194196,2.0,0.4,0,1
5,6.265913009643555,11.258957862854004,0.08595316112041473,-0.02493529265103713,-0.010310467760022205,0.5085590502458471,0.8606042306896876,2.0,0.4,0,1
6,7.716014862060547,14.046867370605469,0.12162993848323822,-0.02172244789077632,-0.009630864761074857,0.4985488742840279,0.8665358784380127,2.0,0.4,0,1
7,9.21214771270752,16.674583435058594,0.17213894426822662,-0.022786130133739355,-0.011137395864084442,0.5133565100464615,0.8578005977492785,2.0,0.4,0,1
8,10.543561935424805,19.412372589111328,0.23775075376033783,-0.0214839388622495,-0.01054782555003064,0.5074549591394236,0.8613458272624294,2.0,0.4,0,1
9,11.98630428314209,22.188030242919922,0.308499276638031,-0.018972187514561898,-0.0096023570762477,0.5078985541970674,0.8611544046790227,2.0,0.4,0,1
10,13.426789283752441,24.832761764526367,0.39230576157569885,-0.024526367678157985,-0.013419991325585648,0.48907246932163106,0.8717949700627426,2.0,0.4,0,1
11,15.088566780090332,26.69320297241211,0.4931968152523041,-0.016485668531755888,-0.01729578431453943,0.24422109220128915,0.9694251430462476,2.0,0.4,0,1
12,16.121776580810547,26.992534637451172,0.5377770662307739,-0.0045830382505537975,-0.017229441902634295,-0.02177710149221091,0.9996038710281281,2.0,0.4,0,1
13,19.032386779785156,26.28212547302246,0.7235981225967407,0.04845184012206698,-0.033309435256957044,-0.09043304678565095,0.9941653715100183,2.0,0.4,0,1
14,21.872560501098633,25.320566177368164,0.9014864563941956,0.01187070668327086,-0.02418842668464548,-0.20054040234705944,0.9793148469740384,2.0,0.4,0,1
15,23.7344970703125,23.89447784423828,0.9362629652023315,0.008563134848638961,-0.015946361989190208,-0.44951347253694734,0.8930901575866845,2.0,0.4,0,1
16,25.914133071899414,21.8170166015625,1.0179641246795654,0.012231759576426547,-0.029383807028515466,-0.502373045911487,0.8640649785149399,2.0,0.4,0,1
17,26.045021057128906,21.273155212402344,1.0034624338150024,0.024787646606676417,-0.030148046316535893,-0.7181410223379389,0.6948021605764115,2.0,0.4,0,1
